sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
HM86_TB3-T_O-N,HM86,TB3,0,a,HM86_TB3-T_O-N_R1.fastq.gz,HM86_TB3-T_O-N_R2.fastq.gz,1.074356,1.155432,0.122,TB_Rep3,7.65E+07,8399-SP-51,1.00007,0,1.08E+00,7.883661435,5.77E-02,1.44402183
HM86_TB3-T1a,HM86,TB3,T1a,a,HM86_TB3-T1a_R1.fastq.gz,HM86_TB3-T1a_R2.fastq.gz,1.569123,1.984239,0.517,TB_Rep3,2.25E+08,8399-SP-52,2.747804,1,1.49E+00,8.352182518,7.62E-02,1.317423808
HM86_TB3-T1b,HM86,TB3,T1b,b,HM86_TB3-T1b_R1.fastq.gz,HM86_TB3-T1b_R2.fastq.gz,1.668426,2.168841,0.999,TB_Rep3,4.75E+08,8399-SP-53,2.866415,1.5,1.68E+00,8.67669361,8.23E-02,2.185847602
HM86_TB3-T2a,HM86,TB3,T2a,a,HM86_TB3-T2a_R1.fastq.gz,HM86_TB3-T2a_R2.fastq.gz,1.41892,1.930363,2.98,TB_Rep3,1.10E+09,8399-SP-54,2.063198,2,2.75E+00,9.041392685,1.28E-01,0.705279937
HM86_TB3-T2b,HM86,TB3,T2b,b,HM86_TB3-T2b_R1.fastq.gz,HM86_TB3-T2b_R2.fastq.gz,1.309398,1.622937,4.24,TB_Rep3,4.35E+09,8399-SP-55,1.616882,2.5,2.79E-01,9.638489257,1.25E-02,0.584775927
HM86_TB3-T3a,HM86,TB3,T3a,a,HM86_TB3-T3a_R1.fastq.gz,HM86_TB3-T3a_R2.fastq.gz,1.26415,1.523052,5.68,TB_Rep3,5.00E+09,8399-SP-56,1.390665,3,7.84E-02,9.698970004,3.51E-03,0.027972484
HM86_TB3-T3b,HM86,TB3,T3b,b,HM86_TB3-T3b_R1.fastq.gz,HM86_TB3-T3b_R2.fastq.gz,1.137009,1.389999,5.76,TB_Rep3,5.20E+09,8399-SP-57,1.193106,3.5,4.62E-01,9.716003344,2.05E-02,0.068266013
HM86_TB3-T4,HM86,TB3,T4,a,HM86_TB3-T4_R1.fastq.gz,HM86_TB3-T4_R2.fastq.gz,1.108587,1.437263,5.96,TB_Rep3,6.55E+09,8399-SP-58,1.116703,4,1.75E-01,9.8162413,7.70E-03,0.19039847
HM86_TB3-T5,HM86,TB3,T5,a,HM86_TB3-T5_R1.fastq.gz,HM86_TB3-T5_R2.fastq.gz,1.105143,1.211809,7.21,TB_Rep3,7.80E+09,8399-SP-59,1.084899,5,1.38E-01,9.892094603,6.02E-03,0.15869749
HM86_TB3-T6,HM86,TB3,T6,a,HM86_TB3-T6_R1.fastq.gz,HM86_TB3-T6_R2.fastq.gz,1.12365,1.402049,8.45,TB_Rep3,8.95E+09,8399-SP-60,1.120368,6,,9.951823035,,
